FilmGenreID;FilmID;GenreID
1;1;6
2;1;4
3;1;1
4;2;1
5;2;4
6;2;11
7;3;6
8;3;2
9;3;12
10;4;6
11;4;1
12;5;2
13;5;3
14;6;11
15;6;2
16;7;2
17;8;1
18;8;6
19;8;20
20;9;4
21;9;11
22;9;2
23;10;11
24;10;2
25;11;8
26;11;3
27;12;4
28;12;5
29;13;7
30;13;2
31;13;14
32;14;1
33;14;6
34;15;2
35;15;17
36;16;1
37;16;2
38;17;8
39;17;12
40;18;4
41;18;2
42;19;11
43;19;2
44;20;4
45;20;11
46;21;12
47;21;6
48;22;7
49;22;2
50;23;10
51;23;12
52;23;1
53;24;10
54;24;12
55;25;6
56;25;1
57;26;1
58;26;20
59;27;1
60;27;20
61;28;1
62;28;20
63;29;6
64;29;12
65;30;1
66;30;4
67;31;1
68;31;12
69;32;2
70;33;17
71;33;18
72;34;11
73;34;2
74;35;11
75;35;2
76;36;12
77;36;18
78;37;18
79;37;11
80;38;3
81;38;12
82;39;8
83;39;12
84;40;8
85;40;12
86;41;8
87;41;2
88;42;8
89;42;2
90;43;14
91;43;16
92;44;14
93;44;16
94;45;14
95;45;7
96;46;6
97;46;4
98;47;7
99;47;2
100;48;6
101;48;7
102;49;6
103;49;4
104;50;6
105;50;1
